video,ビデオ
television,テレビ
watch,[動]見る
radio,ラジオ
media,メディア
announce,[動]発表する
news,知らせ
report,報道
recent,[形]最近の
reporter,記者
newspaper,新聞
article,記事
program,番組
broadcast,[動]放送する
satellite,衛星
start,[動]始める
stop,[動]止める
engine,エンジン
engineer,技師
design,設計
machine,機械
science,科学
research,研究
experiment,実験
computer,コンピュータ
technology,技術
progress,進歩
energy,エネルギー
spend,[動]費やす
active,[形]活発な
letter,手紙
send,[動]送る
receive,[動]受け取る
show,[動]見せる
mean,[動]意味する
express,[動]表現する
sign,記号
gesture,身ぶり
meaning,意味
signal,合図
communication,伝達
information,情報
contact,接触
message,伝言
appointment,会う約束
make,[動]作る
plan,計画
prepare,[動]準備する
tool,道具
use,[動]使う
