flight,飛行
departure,出発
arrival,到着
mix,[動]混ぜる
together,[副]いっしょに
create,[動]創造する
error,間違い
careful,[形]注意深い
admit,[動]認める
debate,討論
comment,評論
discussion,討論
anger,怒り
argue,[動]口論する
blame,[動]非難する
bread,パン
meat,肉
essential,[形]欠かせない
data,データ
actual,[形]実際の
accurate,[形]正確な
risk,危険
disaster,災害
avoid,[動]避ける
writing,著作
concept,考え
original,[形]独創的な
fact,事実
background,背景
historical,[形]歴史的
basic,[形]基本的
medical,[形]医学の
care,手当
beat,[動]たたく
injury,けが
pale,青ざめた
cure,治療
illness,病気
recover,[動]回復する
disease,病気
spread,[動]広まる
prevent,[動]防ぐ
cancer,ガン
treat,[動]治療する
operation,手術
world,世界
war,戦争
peace,平和
race,人種
discrimination,差別
