score,得点
knowledge,知識
hall,ホール
park,公園
museum,博物館
teacher,教師
student,学生
education,教育
school,学校
finish,[動]終える
graduate,[動]卒業する
class,学級
age,年齢
grade,学年
ask,[動]たずねる
answer,[動]答える
question,質問
learn,[動]習う
lesson,授業
skill,技能
talk,[動]話す
topic,話題
conversation,会話
speak,[動]しゃべる
tongue,舌
language,言語
tell,[動]言う
joke,冗談
lie,うそ
say,[動]言う
again,[副]再び
repeat,[動]くり返す
discuss,[動]議論する
general,[形]一般的
matter,問題
city,都市
town,町
urban,[形]都会の
village,村
rural,[形]田舎の
area,地域
local,[形]地元の
national,[形]全国の
global,[形]地球的
country,国
nation,国民
population,人口
neighbor,隣人
stranger,知らない人
community,地域社会
