protest,抗議
political,[形]政治的
economic,[形]経済的
situation,状況
review,見直し
policy,政策
democracy,民主主義
crisis,危機
emergency,緊急
survive,[動]生き残る
power,力
influence,影響
authority,権威
lead,[動]導く
follow,[動]ついて行く
chief,首長
president,大統領
election,選挙
vote,投票
capital,首都
government,政府
politics,政府
freedom,自由
speech,言論
expression,表現
rule,規則
law,法律
obey,[動]従う
citizen,市民
right,権利
duty,義務
lawyer,弁護士
judge,裁判官
court,法廷
guilty,[形]有罪の
innocent,[形]無罪の
justice,正義
steal,[動]盗む
thief,どろぼう
punish,[動]罰する
market,市場
sell,[動]売る
buy,[動]買う
price,値段
cheap,[形]安い
expensive,[形]高い
money,お金
lend,[動]貸す
borrow,[動]借りる
pay,[動]払う
