egg,卵
bird,鳥
wing,つばさ
fish,魚
swim,[動]泳ぐ
tail,尾
alive,[形]生きた
dead,[形]死んだ
creature,生き物
birth,誕生
life,生命
death,死
young,[形]若い
old,[形]老いた、古い
develop,[動]発達する
kind,[形]親切な
friendly,[形]友好的な
gentle,[形]優しい
honest,[形]正直な
fair,[形]公平な
trust,信頼
manner,方法
polite,[形]礼儀正しい
rude,[形]乱暴な
person,人
character,性格
habit,習慣
individual,個人
identity,身元
personality,人格
love,[動]愛する
hate,[動]にくむ
emotion,感情
fun,楽しいこと
happy,[形]幸せな
enjoy,[動]楽しむ
angry,[形]おこった
shout,[動]叫ぶ
complain,[動]不平を言う
sad,[形]悲しい
cry,[動]泣く
tear,涙
afraid,[形]こわがって
fear,おそれ
worry,[動]心配する
head,頭
think,[動]考える
brain,脳
face,顔
name,名前
