high,[形]高い
low,[形]低い
jump,ジャンプ
button,ボタン
switch,スイッチ
press,[動]押す
way,道
corner,角
turn,[動]曲がる [名]順番
wait,[動]待つ
appear,[動]現れる
disappear,[動]消える
gain,[動]得る
control,支配
advantage,優位
tree,木
branch,枝
leaf,葉
flower,花
plant,植物
grow,[動]成長する
green,緑
grass,草
vegetable,野菜
garden,庭
field,野原
farm,農場
seed,種
root,根
origin,起源
listen,[動]聞く
carefully,[副]注意深く
realize,[動]悟る
sudden,[形]突然の
quick,[形]速い
reaction,反応
positive,[形]積極的な
negative,[形]消極的な
attitude,態度
seem,[動]思える
impression,印象
prejudice,偏見
cause,原因
effect,効果
relation,関係
help,[動]助ける
volunteer,ボランティア
welfare,福祉
excuse,[動]許す
sorry,[形]後悔して
