pardon,許し
advise,[動]助言する
encourage,[動]励ます
support,[動]支持する
offer,[動]提供する
refuse,[動]断る
accept,[動]受け入れる
damage,損害
trouble,困難
forgive,[動]許す
truth,真実
ideal,[形]理想の
wonder,不思議
surprise,驚き
unusual,[形]ふつうでない
happen,[動]起こる
terrible,[形]ひどい
huge,[形]巨大な
shock,衝撃
major,[形]大きい
minor,[形]小さい
mistake,間違い
direct,[形]直接の
indirect,[形]間接の
link,関連
new,[形]新しい
latest,[形]最新の
fashion,流行
match,[動]合う
current,[形]現在の
trend,傾向
personal,[形]個人的
official,[形]公式な
social,[形]社会的
style,スタイル
ordinary,[形]ふつうの
strange,[形]奇妙な
separate,[形]別の
unique,[形]唯一の
case,場合
like,[動]好む
dislike,[動]嫌う
prefer,[動]より好む
smile,[動]ほほえむ
pleasure,喜び
pride,誇り
bath,ふろ
soap,石鹸
wash,[動]洗う
rest,休憩、残り
