expect,[動]期待する
hold,[動]持つ
put,[動]置く
lay,[動]横たえる
own,[動]所有する
lose,[動]失う
search,[動]探す
pull,[動]引く
push,[動]押す
attract,[動]引きつける
leave,[動]去る
soon,[副]すぐに
destination,行き先
problem,問題
serious,[形]深刻な
solve,[動]解決する
level,水準
reach,[動]達する
remain,[動]とどまる
mystery,謎
explore,[動]探索する
discover,[動]発見する
army,軍
defend,[動]守る
command,命令
paper,紙
sheet,１枚
light,[形]軽い
cover,[動]おおう
hide,[動]隠す
secret,秘密
keep,[動]保つ
balance,つり合い
strength,強さ
need,必要
enough,[形]十分な
lack,不足
focus,焦点
attention,注意
notice,[動]気がつく
right,右
left,左
center,中央
near,[副]近く
away,[副]離れて
distance,距離
size,大きさ
shape,形
fit,[動]適合する
far,[副]遠くに
