especially,[副]特に
fully,[副]十分に
quickly,[副]速く
recently,[副]最近
directly,[副]直接に
perfectly,[副]完全に
naturally,[副]自然に
fairly,[副]公平に
generally,[副]一般的に
seriously,[副]重大に
actually,[副]実際には
gradually,[副]徐々に
clearly,[副]明らかに
simply,[副]単に
highly,[副]高く
extremely,[副]極端に
equally,[副]等しく
regularly,[副]定期的に
completely,[副]完全に
exactly,[副]正確に
closely,[副]密接に
nearly,[副]ほとんど
certainly,[副]確かに
rarely,[副]めったに
gently,[副]やさしく
user,利用者
reader,読者
owner,持ち主
driver,運転手
farmer,農夫
foreigner,外国人
driver,指導者
singer,歌手
worker,労働者
scientist,科学者
artist,芸術家
dentist,歯科医師
tourist,旅行者
pianist,ピアニスト
specialist,専門家
useful,[形]便利な
necessary,[形]必要な
valuable,[形]貴重な
model,模型
example,例
similar,[形]似た
copy,写し
exact,[形]正確な
compare,[動]比べる
content,内容
