context,文脈
interpret,[動]解釈する
final,[形]最終の
complete,[形]完全な
version,版
choice,選択
decision,決定
conclusion,結論
obtain,[動]得る
permit,[動]許可する
deny,[動]否定する
present,[形]出席の
absent,[形]欠席の
exist,[動]存在する
bind,[動]しばる
attach,[動]結びつける
connect,[動]つなぐ
award,賞
honor,名誉
respect,尊敬
difference,違い
contrast,対象
division,分割
display,展示
curious,[形]好奇心の強い
interest,関心
gap,すき間
majority,多数
minority,少数
safety,安全
dangerous,[形]危険な
zone,地帯
plain,[形]平易な
complicated,[形]複雑な
confuse,[動]混乱させる
pick,[動]選ぶ
collect,[動]集める
fix,[動]修理する
allow,[動]許す
limit,限界
standard,標準
bat,バット
stick,棒
hit,[動]打つ
shoot,[動]撃つ
miss,[動]のがす
target,目標
fault,間違い
responsible,[形]責任がある
apologize,[動]謝罪する
