kick,[動]ける
muscle,筋肉
brush,ブラシ
hair,髪
tooth,歯
knee,ひざ
elbow,ひじ
bend,[動]曲げる
neck,首
shoulder,肩
broad,[形]広い
heart,心臓
blood,血
flow,流れ
quiet,[形]静かな
loud,[形]うるさい
voice,声
feel,[動]感じる
touch,[動]さわる
sense,感覚
bag,がばん
basket,かご
carry,[動]運ぶ
cap,帽子(ふちなし)
hat,帽子(ふちあり)
wear,[動]着る
belt,ベルト
waist,腰
pants,ズボン
tape,テープ
thin,[形]薄い
thick,[形]厚い
thing,物
pack,[動]荷造りする
wrap,[動]つつむ
black,黒
white,白
gray,灰色
red,赤
yellow,黄色
color,色
net,網
string,ひも
tie,[動]結ぶ
suit,スーツ
jacket,上着
coat,コート
flag,旗
pattern,模様
represent,[動]表す
