first,[形]最初
second,[形]２番目
third,[形]３番目
next,[形]次
last,[形]最後
previous,[形]前の
here,[副]ここ
there,[副]そこ
over there,[副]あそこ
weight,重さ
heavy,[形]思い
lift,[動]持ち上げる
height,高さ
width,幅
length,長さ
slow,[形]遅い
fast,[形]速い
speed,スピード
deep,[形]深い
hole,穴
bottom,底
big,[形]大きい
brown,茶色
block,かたまり
box,箱
empty,[形]からの
full,[形]いっぱいの
flat,[形]平らな
stomach,腹
surface,表面
good,[形]良い
bad,[形]悪い
quality,質
same,[形]同じ
different,[形]別の
become,[動]なる
normal,[形]正常な
abnormal,[形]異常な
state,状態
check,[動]点検する
condition,状態
perfect,[形]完全な
part,部分
important,[形]重要な
element,要素
cute,[形]かわいい
pretty,[形]きれいな
beautiful,[形]美しい
great,[形]偉大な
wonderful,[形]すばらしい
