purpose,目的
main,[形]主に
theme,主題
aim,[動]ねらう
project,計画
challenge,挑戦
ambition,野心
activity,活動
talent,才能
ability,能力
call,[動]呼ぶ
police,警察
accident,事故
key,かぎ
lock,錠
security,安全
safe,[形]安全な
danger,危険
escape,[動]逃げる
crime,犯罪
arrest,[動]逮捕する
prison,刑務所
kill,[動]殺す
die,[動]死ぬ
murder,殺人
gun,銃
soldier,兵士
battle,戦闘
hero,英雄
brave,[形]勇敢な
courage,勇気
enemy,敵
attack,攻撃
guard,見張り
suffer,[動]苦しむ
violence,暴力
victim,被害者
bomb,爆弾
drop,[動]落とす
destroy,[動]破壊する
wise,[形]かしこい
fool,おろか者
intelligence,知性
thought,考え
mind,心
sentiment,感情
human,[形]人の
soul,魂
spirit,精神
clear,[形]明快な
