fantastic,[形]すてきな
simple,[形]簡単な
natural,[形]自然な
traditional,[形]伝統的な
rare,[形]めずらしい
special,[形]特別な
precious,[形]貴重な
familiar,[形]なじみの
favorite,[形]好きな
usual,[形]いつもの
half,半分
quarter,４分の１
whole,全体
count,[動]数える
number,数
total,合計 [形]全体の
add,[動]足す
divide,[動]割る
average,平均
equal,[形]等しい
amount,量
value,価値
rate,割合
percent,パーセント
proportion,比率
time,時
moment,瞬間
forever,[副]永遠に
hour,時間
minute,分
second,秒
day,日
week,週
month,月
year,年
decade,10年
century,世紀
watch,腕時計
clock,置時計
measure,[動]計る
free,[形]ひまな、自由な
busy,[形]忙しい
schedule,予定
early,[形]早い
late,[形]遅い
hurry,[動]急ぐ
short,[形]短い
long,[形]長い
period,期間
past,過去
