relax,[動]くつろぐ
comfortable,[形]快適な
silence,静けさ
sleep,[動]眠る
wake,[動]起きる
gold,金
silver,銀
metal,金属
oil,油
iron,鉄
resources,資源
lamp,ランプ
motor,モーター
electricity,電気
coal,石炭
gas,ガス
fuel,燃料
truck,トラック
delivery,配達
route,経路
nature,自然
environment,環境
protect,[動]守る
animal,動物
wild,[形]野生の
save,[動]救う
pure,[形]純粋な
atmosphere,大気
pollution,汚染
trash,ゴミ
waste,むだ
recycling,リサイクル
silent,[形]静かな
noise,騒音
reduce,[動]減らす
work,[動]働く [名]仕事
profession,職業
income,収入
job,仕事
interview,面接
employ,[動]雇う
chance,機械
lucky,[形]幸運な
successful,[形]成功した
easy,[形]簡単な
difficult,[形]難しい
task,仕事
importance,重要性
difficulty,[形]難しさ
degree,程度
