present,現在
future,未来
diary,日記
daily,[形]日々の
record,記録
train,列車
arrive,[動]着く
station,駅
fly,[動]飛ぶ
plane,飛行機
airport,空港
trip,旅
guide,案内
abroad,[副]外国に
home,家
hotel,ホテル
stay,[動]滞在する
travel,[動]旅行する
traffic,交通
passenger,乗客
car,自動車
drive,[動]運転する
road,道路
boat,ボート
ship,船
sail,[動]航海する
run,[動]走る
wheel,車輪
vehicle,乗り物
bus,バス
taxi,タクシー
transport,[動]運ぶ
horse,馬
bicycle,自転車
ride,[動]乗る
cut,[動]切る
hurt,[動]傷つける
pain,痛み
doctor,医師
nurse,看護師
hospital,病院
sick,[形]病気の
fever,熱
patient,患者
body,体
health,健康
medicine,薬
headache,頭痛
toothache,歯痛
stomachache,胃痛
