stamp,切手
address,住所
mail,郵便
Christmas,クリスマス
snow,雪
exciting,[形]興奮させる
bell,ベル
telephone,電話
ring,[動]鳴る
card,カード
present,贈り物
surprising,[形]びっくりさせる
reply,[動]返事する
later,[副]後で
immediately,[副]すぐに
bedroom,寝室
awake,[形]目覚めた
asleep,[形]眠った
bored,[形]退屈した
tired,[形]疲れた
sleepy,[形]眠い
excited,[形]興奮した
interested,[形]興味を持った
surprised,[形]驚いた
wish,[動]願う
luck,幸運
happiness,幸せ
glad,[形]うれしい
worried,[形]心配した
feeling,感情
central,[形]中心的
feature,特徴
function,機能
formal,[形]正式な
document,文書
file,ファイル
beginning,始まり
section,部分
include,[動]含む
liter,リットル
contain,[動]含む
capacity,容量
space,空間
occupy,[動]占める
expand,[動]広がる
easily,[副]簡単に
slowly,[副]ゆっくりと
really,[副]本当に
mainly,[副]主に
finally,[副]ついに
