get,[動]得る
have,[動]待つ
desire,欲望
try,[動]試す
fail,[動]失敗する
succeed,[動]成功する
goal,目的
achieve,[動]成し遂げる
result,結果
promise,約束
possible,[形]可能な
impossible,[形]不可能な
practice,練習
master,[動]習得する
improve,[動]上達する
go,[動]行く
come,[動]来る
return,[動]帰る
walk,[動]歩く
step,歩み
path,小道
move,[動]動かす
shake,[動]振る
swing,[動]ゆらす
sit,[動]すわる
stand,[動]立つ
position,位置
fall,[動]落ちる
roll,[動]転がる
slide,[動]すべる
do,[動]する
know,[動]知る
experience,経験
want,[動]欲しい
choose,[動]選ぶ
decide,[動]決める
act,行動
effort,努力
success,成功
begin,[動]始める
end,[動]終わる
continue,[動]続ける
will,意志
request,要求
appeal,訴え
look,[動]見る
detail,細部
examine,[動]調べる
believe,[動]信じる
hope,希望
