Canada,カナダ
Europe,ヨーロッパ
Africa,アフリカ
Australia,オーストラリア
Britain,英国
English,英語 [形]イングランドの
French,フランス語 [形]フランスの
German,ドイツ語 [形]ドイツの
Japanese,日本語 [形]日本の
Chinese,中国語 [形]中国の
Korean,韓国語 [形]韓国の
Spanish,スペイン語 [形]スペインの
Italian,イタリア語 [形]イタリアの
Russian,ロシア語 [形]ロシアの
American,[形]アメリカの
Canadian,[形]カナダの
European,[形]ヨーロッパの
African,[形]アフリカの
Australian,[形]オーストラリアの
British,[形]英国の
wet,[形]しめった
dry,[形]乾いた
steam,蒸気
cold,[形]寒い
hot,[形]暑い
temperature,温度
warm,[形]暖かい
cool,[形]すずしい
weather,天気
rain,雨
storm,あらし
flood,洪水
ice,氷
heat,熱
melt,[動]とける
wind,風
cloud,雲
blow,[動]吹く
east,東
west,西
coast,海岸
north,北
south,南
direction,方角
eastern,[形]東部の
western,[形]西部の
region,地方
northern,[形]北部
southern,[形]南部
accent,なまり
